"Chromosome","GeneStart","GeneEnd"
1,6792884,6794593
1,9001060,9005609
1,10791411,10795771
1,24385143,24386448
1,39752067,39752723
1,33026492,33029818
1,18120890,18121294
1,27719837,27724111
1,27719970,27724111
1,27719806,27724111
1,31560684,31561351
1,15138455,15140757
1,6716728,6717297
1,33651073,33651248
1,135769,136391
1,5877131,5879314
1,10601141,10603455
1,704830,705471
1,36056627,36057215
1,6104121,6106008
1,35650012,35656388
1,4027720,4034313
1,8122802,8127839
1,30152965,30154845
1,34917562,34918929
1,2844969,2850000
1,1004439,1009706
1,7504925,7507009
1,34812674,34814409
1,42039018,42041501
1,42038655,42041771
1,30522916,30526482
1,35318954,35321276
1,36003519,36009579
1,36004417,36007276
1,23418804,23420110
1,37099718,37101166
1,31947998,31948405
1,39044586,39044842
1,13018053,13019771
1,1212344,1216862
1,1212105,1216862
1,36805873,36806058
1,38359014,38359494
1,30581314,30584007
1,3969907,3971235
1,2482563,2487164
1,32213065,32217457
1,32213366,32217457
1,23447729,23452648
1,8272938,8275892
1,8271779,8276351
1,41785396,41788144
1,41785374,41788144
1,3497742,3499514
1,37551402,37555465
1,38070366,38074673
1,38070366,38072658
1,32539381,32541408
1,21653576,21654005
1,15146427,15147100
1,29538514,29539051
1,36995276,37000943
1,21447334,21449003
1,9374600,9378116
1,910038,913480
1,40015327,40015968
1,6306986,6309163
1,35282836,35289754
1,38610625,38611376
1,41549041,41550296
1,1864051,1866143
1,23687568,23695875
1,32279293,32283563
1,28258120,28259823
1,30182914,30189833
1,920254,920549
1,41755814,41757189
1,3453482,3453925
1,5866911,5869507
1,5866664,5870660
1,5866664,5869068
1,39663226,39665216
1,39663226,39666022
1,34116166,34118447
1,6507233,6510845
1,8503775,8507587
1,5342369,5342444
1,30972478,30973077
1,31893408,31896769
1,33277718,33278666
1,41922697,41923535
1,11890794,11896261
1,13833545,13833739
1,27059324,27062317
1,32683056,32686873
1,39222961,39224597
1,6868676,6869302
1,7730181,7731012
1,40056674,40058815
1,40360210,40364115
1,40360848,40364115
1,40362170,40364115
1,40544767,40545239
1,864484,867020
1,7120301,7123365
1,39895602,39897810
1,40668476,40672573
1,7424673,7425460
1,21992542,21993582
1,5773240,5774035
1,5005299,5008429
1,9746316,9748637
1,9746520,9747986
1,41220793,41222347
1,41220842,41221963
1,5453717,5454153
1,40529409,40530077
1,39063114,39064817
1,17047659,17048028
1,28126664,28127143
1,20828639,20829507
1,12894376,12898199
1,33603179,33604236
1,922290,927175
1,921981,927269
1,39763604,39767048
1,39764599,39766922
1,39764934,39766922
1,6643887,6646214
1,36693103,36695989
1,36692742,36696103
1,36692742,36697028
1,37295549,37298673
1,37387279,37393116
1,38183241,38184600
1,39102892,39107403
1,32499202,32501993
1,32498956,32500888
1,32499202,32503205
1,40364987,40374525
1,40364987,40374677
1,38512568,38513748
1,38282631,38288603
1,40559034,40565007
1,10295963,10299628
1,34943216,34944366
1,2145778,2148374
1,41609045,41611583
1,23608766,23616184
1,23609630,23616184
1,33356407,33358546
1,33355905,33358677
1,33355925,33358677
1,28081216,28082956
1,40602650,40603180
1,33247150,33251569
1,33246767,33251710
1,41880610,41885924
1,33196895,33201185
1,10337575,10338152
1,41517383,41521144
1,41518331,41520705
1,41517802,41520705
1,41518367,41520705
1,41518030,41520705
1,28538421,28538965
1,27602271,27603418
1,38597924,38598281
1,720231,720647
1,37412747,37413073
1,5806490,5806991
1,7132503,7136040
1,23543688,23545301
1,33595343,33596053
1,41435769,41436101
1,2517685,2521836
1,28761333,28761995
1,7807801,7808768
1,13785997,13786751
1,31451696,31453450
1,31451696,31453346
1,34260775,34263027
1,391162,391636
1,1382879,1385620
1,10246643,10250209
1,10246401,10249574
1,10246401,10250296
1,4969576,4970977
1,29763409,29764020
1,26539112,26543247
1,3414924,3415360
1,39318178,39320080
1,39317728,39320671
1,39317430,39320671
1,30271400,30276342
1,39271603,39278334
1,39272124,39278450
1,5200778,5211050
1,30243624,30247999
1,41314301,41318622
1,12204198,12206430
1,41525744,41530364
1,32531233,32533618
1,36886422,36887410
1,40264270,40273990
1,14715813,14716292
1,6303101,6306748
1,10840511,10841881
1,1863479,1863878
1,36758308,36760337
1,30412612,30413183
1,32505951,32513770
1,32505951,32511609
1,27364323,27366630
1,30817433,30821600
1,7027010,7030622
1,7027010,7030018
1,25655985,25657502
1,6885633,6888219
1,6885044,6888875
1,37160025,37161529
1,37159623,37161711
1,4640869,4641523
1,22368343,22373174
1,22369064,22373011
1,22371740,22373174
1,33117785,33120411
1,9130853,9131784
1,5497821,5498845
1,28508399,28508964
1,37131385,37131702
1,38392381,38394995
1,5680217,5686425
1,5680623,5685349
1,5681600,5686425
1,35832067,35834318
1,4049216,4053071
1,25695280,25701605
1,25695280,25701652
1,1811238,1812203
1,6149067,6149566
1,9852162,9860408
1,28809834,28811736
1,41914811,41917556
1,41915279,41917463
1,19843174,19857563
1,38207570,38208934
1,8439599,8440080
1,33092578,33095433
1,33091644,33095433
1,33091675,33095433
1,21268519,21271288
1,21268521,21271288
1,33121979,33124123
1,34814602,34814844
1,32925783,32930956
1,32927591,32930956
1,32928101,32930956
1,34762003,34766474
1,39225565,39226941
1,39225130,39227996
1,27849828,27851114
1,17622553,17623298
1,41023109,41027480
1,26614799,26616323
1,20842891,20844723
1,40078828,40083928
1,40076840,40084030
1,40076840,40083928
1,9154667,9154918
1,4373059,4373568
1,1431948,1433419
1,1431611,1433502
1,24410547,24417181
1,34610482,34610922
1,9657420,9660314
1,11615866,11618816
1,26372552,26374142
1,17635168,17637379
1,32983392,32984574
1,41444539,41449189
1,9759911,9760472
1,23774917,23779514
1,23775357,23779514
1,40652055,40653382
1,35637602,35639380
1,35637602,35640173
1,23988995,23989180
1,32257927,32259741
1,41272752,41274737
1,41273211,41274373
1,27120967,27121614
1,33073701,33076332
1,15381224,15381895
1,23920044,23923943
1,30682841,30685715
1,30682841,30685464
1,8778820,8781896
1,31928029,31930147
1,31927912,31930608
1,16770171,16771388
1,28607320,28608703
1,13049684,13050381
1,3155103,3159503
1,4365472,4366617
1,27493477,27494618
1,41906546,41909497
1,32061071,32065212
1,3996936,4000524
1,8371321,8371724
1,12375857,12376619
1,12375853,12376619
1,41370738,41371367
1,3939499,3940605
1,39351465,39351781
1,40318207,40318787
1,38583615,38591658
1,4955584,4959131
1,27729158,27730773
1,4826947,4828726
1,8792291,8793129
1,22585339,22585647
1,34555261,34555548
1,35274316,35274823
1,8771774,8773986
1,34141157,34142514
1,31612106,31613970
1,31609880,31613970
1,966926,971783
1,966708,971855
1,36164125,36165597
1,25155472,25156230
1,38988357,38989128
1,38971260,38971548
1,13935455,13935973
1,34955208,34955715
1,6569386,6575592
1,6569386,6574381
1,1341861,1342593
1,8038455,8038652
1,39992146,39998092
1,15862156,15862899
1,9216834,9218775
1,1417515,1417957
1,38324896,38325343
1,29801285,29804480
1,29800989,29802912
1,2946880,2948881
1,10260590,10263395
1,10088558,10089856
1,19751798,19752953
1,7892087,7894767
1,7891638,7894767
1,35489066,35496543
1,28449726,28451372
1,27687425,27693315
1,27687425,27693417
1,41843953,41848549
1,6279813,6286500
1,6279813,6286891
1,6279813,6284944
1,293768,294826
1,7653386,7656770
1,3127117,3134294
1,3954674,3960147
1,34968402,34969895
1,2967523,2971596
1,2964052,2971596
1,2964207,2971596
1,25119986,25121433
1,32747112,32748224
1,13625889,13635485
1,4816074,4819608
1,10358388,10361799
1,14271380,14272614
1,9166679,9170207
1,36984508,36985376
1,36983606,36985752
1,1469719,1471105
1,10254126,10259518
1,30140836,30141479
1,30830513,30832587
1,40019830,40027001
1,15910370,15910765
1,15910316,15911169
1,14432221,14433012
1,31604961,31606522
1,28160352,28162237
1,13545483,13548246
1,28864087,28869151
1,3923748,3929821
1,3924174,3929491
1,31572506,31577690
1,31571571,31577690
1,35162415,35165164
1,29808507,29811343
1,32648998,32650057
1,747341,748929
1,21605661,21607937
1,21605344,21608463
1,1017435,1018048
1,5620974,5625369
1,39153395,39156278
1,7501031,7501706
1,36911502,36913121
1,29678195,29680809
1,29678361,29680607
1,27202169,27205353
1,27201757,27205672
1,5223966,5226194
1,5223823,5228574
1,7672211,7676845
1,33598996,33600039
1,35042827,35047719
1,3192912,3194270
1,39704333,39706681
1,31723411,31728243
1,21390976,21391443
1,37658002,37659084
1,39378742,39381363
1,30088801,30091680
1,27598058,27599419
1,6397700,6401062
1,9565435,9569911
1,9565859,9569015
1,1746356,1746803
1,21426939,21427196
1,38217406,38218724
1,32419761,32420291
1,28253036,28253513
1,27542408,27544431
1,36763424,36766243
1,31276596,31277015
1,31276215,31277445
1,31274129,31277445
1,7494624,7496747
1,2072325,2076755
1,2072325,2076037
1,2072880,2076624
1,5372321,5375391
1,36782344,36783342
1,27671190,27676519
1,33409808,33410282
1,35294657,35300075
1,10264054,10264656
1,10715886,10717269
1,33341873,33346118
1,35851800,35855986
1,40158677,40159141
1,6039933,6040112
1,7415006,7417447
1,35864949,35868701
1,39868053,39871081
1,9259218,9261005
1,5084658,5085607
1,6945726,6948780
1,29499676,29500719
1,27789159,27789430
1,35403572,35407477
1,27895224,27895649
1,5095130,5096357
1,269573,271176
1,269573,271738
1,41578022,41581226
1,32518712,32519890
1,5632287,5633527
1,6157427,6159929
1,28763199,28764843
1,2323504,2325104
1,41166487,41173663
1,28380260,28380606
1,6094369,6095242
1,36277178,36278804
1,36275566,36279052
1,36777641,36778639
1,10335191,10335467
1,10637259,10638782
1,4756554,4760499
1,5531137,5535119
1,20481657,20482506
1,27763203,27764179
1,75134,76424
1,74818,77420
1,41706846,41712793
1,41706846,41711535
1,28305867,28309111
1,35570463,35572819
1,36908233,36910628
1,36312030,36315682
1,39514893,39518288
1,24263512,24266230
1,31594497,31600351
1,2510311,2514326
1,26657563,26665095
1,26657563,26665275
1,14681023,14682069
1,42010600,42013022
1,25487370,25490349
1,6980209,6980970
1,27717335,27719598
1,6430204,6439614
1,6430204,6439477
1,32287832,32291044
1,22839593,22842225
1,27321907,27325119
1,3621808,3625564
1,8430100,8435565
1,8430556,8435565
1,40764541,40765600
1,21562458,21565150
1,35050483,35053759
1,35050389,35054617
1,42013624,42014202
1,29074682,29075234
1,30096199,30096530
1,9865008,9869083
1,21329271,21330638
1,41390213,41394735
1,37543514,37553260
1,36742251,36745922
1,36742251,36746753
1,36742251,36746669
1,36742251,36746737
1,25742592,25745146
1,26516803,26517531
1,30974033,30974481
1,37910508,37912126
1,406824,412429
1,406824,409467
1,30085794,30088467
1,30086342,30088467
1,6701527,6705525
1,6702091,6705332
1,35589516,35598695
1,23174186,23174942
1,39855420,39856603
1,7113247,7114450
1,27343961,27344585
1,41129664,41135388
1,7868554,7872626
1,8672419,8678661
1,8673488,8678661
1,22246398,22249620
1,4585451,4591405
1,4585451,4591630
1,7110889,7112150
1,26095181,26096769
1,38591827,38592333
1,40798303,40799448
1,6811907,6812698
1,32425843,32427225
1,2774698,2775353
1,1942780,1944111
1,41751765,41754991
1,4400111,4400588
1,41622742,41623105
1,27589041,27590894
1,30022003,30026455
1,30020518,30026934
1,30285786,30286162
1,39548962,39551217
1,39043382,39047028
1,39043143,39047283
1,1360159,1360482
1,13369987,13372138
1,37780684,37782101
1,41631121,41632794
1,39400753,39409309
1,5768997,5772842
1,21285273,21286445
1,41755437,41755752
1,27329918,27336795
1,24350663,24351209
1,36898266,36906694
1,8763822,8767188
1,40134989,40135503
1,37376681,37376929
1,40371669,40372200
1,5729274,5729765
1,36594814,36600283
1,36594585,36601039
1,41495087,41500372
1,4298343,4300207
1,37085909,37088129
1,40927300,40934512
1,40927300,40933029
1,8085405,8091677
1,32830109,32830639
1,33018285,33020156
1,11276419,11282322
1,29968828,29976417
1,40621802,40625573
1,6591244,6596733
1,218735,220279
1,213901,215490
1,214602,215490
1,27431267,27443199
1,28923321,28925051
1,5590571,5592190
1,5993839,5999109
1,3221805,3222216
1,7472242,7474455
1,39059405,39061854
1,39057566,39061854
1,29759815,29760264
1,32084681,32088247
1,38963879,38965429
1,38963909,38964392
1,33950911,33951934
1,641577,648235
1,38850077,38854719
1,40874384,40879803
1,11234299,11237508
1,12866235,12867552
1,33824272,33824655
1,38175998,38177432
1,40004510,40007025
1,31548194,31548792
1,40433768,40434631
1,33456810,33458530
1,40608091,40612532
1,30257786,30262058
1,30257786,30260949
1,30258056,30260139
1,37349883,37351818
1,7409064,7409624
1,30877170,30878035
1,4688838,4697092
1,15586691,15588057
1,42054386,42054864
1,40054821,40055744
1,9264715,9265546
1,33887408,33888268
1,4289091,4290640
1,1898781,1899895
1,4324178,4326794
1,38919474,38920292
1,9974901,9977088
1,33370693,33372862
1,33370693,33373902
1,39790287,39797784
1,16177246,16177768
1,9983376,9986580
1,14725626,14733802
1,34864217,34864691
1,3399497,3401707
1,5168052,5168726
1,37966823,37970893
1,9067924,9069619
1,7988114,7991799
1,14091304,14092727
1,28699086,28700312
1,40498148,40499404
1,40498148,40498971
1,29463876,29467346
1,36339498,36339912
1,7175552,7175912
1,24351693,24351864
1,11024143,11025824
1,27251809,27256132
1,27252061,27255910
1,42015100,42016421
1,42014553,42016421
1,35998018,36002718
1,6199845,6204354
1,41917668,41921479
1,41917668,41921619
1,41917895,41921479
1,28528923,28535436
1,30049928,30053690
1,35028460,35032319
1,18786453,18787047
1,35398240,35399887
1,35398002,35399999
1,39465505,39476728
1,40140597,40146242
1,29900020,29903866
1,24767374,24773607
1,24768190,24773607
1,35816964,35821076
1,40858344,40858869
1,39238452,39240738
1,5449600,5450068
1,27150276,27153163
1,1250392,1252909
1,7285327,7288027
1,18040088,18042074
1,16180089,16180692
1,29603220,29607296
1,29601963,29607296
1,30553019,30556192
1,38230953,38233475
1,38230514,38233732
1,34922875,34926370
1,37406309,37406527
1,37884422,37885960
1,39850680,39851112
1,13620789,13625446
1,23741914,23743929
1,37264192,37265024
1,39708218,39710922
1,8193218,8201984
1,1829200,1830685
1,32862922,32864395
1,35714043,35715888
1,35713902,35717024
1,30397106,30398464
1,35558207,35560605
1,40612704,40615208
1,2903959,2908762
1,2904373,2907647
1,41395152,41397573
1,41395439,41397500
1,3710810,3714620
1,3710522,3714716
1,6367973,6370207
1,41841605,41843622
1,37381715,37385865
1,22142345,22142796
1,38274932,38277176
1,38274932,38276249
1,10278397,10281314
1,5684099,5684633
1,28019933,28023011
1,32515428,32515931
1,41144115,41145885
1,37958471,37961218
1,37958471,37962578
1,34987084,34991813
1,35729463,35733658
1,23909008,23910721
1,38566983,38571637
1,28127989,28129971
1,29523414,29526468
1,4186509,4193210
1,27732854,27736058
1,36010074,36012329
1,33725719,33727704
1,34730985,34731623
1,34327220,34328801
1,27337348,27342089
1,4339800,4341448
1,40098954,40101232
1,6083867,6086603
1,1460836,1461233
1,17092784,17093234
1,40989958,40992263
1,40283999,40284489
1,781269,783946
1,11054690,11058863
1,11056873,11058863
1,11054735,11058863
1,36382765,36383087
1,36320077,36321252
1,26937781,26938608
1,40813559,40819580
1,40813559,40819217
1,7602005,7605757
1,9405537,9408332
1,37621327,37622276
1,36767530,36768336
1,15193046,15193216
1,39570334,39578113
1,39570451,39579226
1,39569157,39579226
1,39571421,39579226
1,39571924,39579226
1,5751884,5757161
1,5311182,5311658
1,30248070,30249864
1,30248635,30249834
1,30249352,30249834
1,40741469,40742743
1,29556122,29561013
1,38766840,38768492
1,24903190,24909446
1,24902201,24909446
1,21405390,21406889
1,7763332,7763875
1,2687521,2688802
1,39718230,39718601
1,3451714,3452482
1,425968,426376
1,7282164,7283625
1,31121125,31122403
1,7586875,7590027
1,5972812,5979068
1,5973321,5977366
1,12425240,12426043
1,33090919,33091378
1,27731361,27732129
1,40011719,40012566
1,31564548,31565210
1,12354396,12355319
1,27422158,27424895
1,27422158,27424305
1,40276278,40277078
1,41997239,41997778
1,35121781,35124481
1,35120552,35124681
1,5239285,5239983
1,28704263,28704433
1,26142104,26144494
1,40939309,40942020
1,34680072,34682025
1,4269025,4271430
1,39540330,39545043
1,39541372,39544159
1,34148364,34151005
1,34848412,34850266
1,12372392,12375071
1,29799949,29800548
1,14611759,14614145
1,7144106,7149797
1,7143863,7149869
1,4570517,4572350
1,4570816,4571505
1,10114126,10115697
1,31623797,31626759
1,25748417,25749600
1,34794932,34797482
1,16168090,16170614
1,23520071,23521574
1,41545201,41545725
1,28083205,28084980
1,2117448,2121001
1,2117755,2120621
1,41819773,41820394
1,23394412,23400812
1,6059145,6063649
1,36860166,36861902
1,22617708,22618184
1,33910681,33911441
1,9138328,9138582
1,11238083,11239840
1,37423789,37424028
1,21324284,21325330
1,27855658,27857198
1,3260358,3261830
1,1747627,1752840
1,34646615,34651385
1,34646615,34652365
1,39394322,39397753
1,10757823,10761164
1,10756827,10761164
1,35776196,35778764
1,11187420,11188188
1,35468389,35474691
1,35468389,35476159
1,27394329,27395712
1,37260864,37263996
1,33769031,33771137
1,13330385,13331705
1,35477493,35480960
1,2379021,2379482
1,22356040,22356420
1,323951,325186
1,1810166,1810624
1,35780824,35783739
1,8156612,8159790
1,17210650,17217157
1,2358379,2358965
1,7578792,7579158
1,1286193,1287515
1,21745320,21745853
1,93571,94596
1,38294513,38298930
1,39780685,39782564
1,39780685,39782627
1,34372487,34379422
1,11243368,11246788
1,30061308,30066146
1,2946404,2946822
1,13835901,13837800
1,25387837,25389798
1,28628766,28632488
1,31407835,31411129
1,34549607,34550134
1,3778972,3779998
1,37684546,37684929
1,10445656,10452094
1,11600666,11601640
1,8499962,8503226
1,27939055,27942838
1,27940172,27942782
1,27939598,27942838
1,3900409,3901284
1,15798217,15798528
1,37105512,37106952
1,9099894,9101678
1,8043367,8050126
1,8043367,8050109
1,8044376,8049756
1,37253371,37253898
1,1689244,1699317
1,11990552,11992909
1,2086986,2087659
1,26386951,26392274
1,17655015,17655950
1,39933028,39945103
1,39933897,39944491
1,39935130,39945103
1,33609353,33612832
1,33609618,33612709
1,37400066,37400808
1,39414088,39416041
1,37707256,37708753
1,38224571,38226557
1,33236751,33239796
1,33238962,33239705
1,29004967,29018502
1,32398486,32400710
1,39368497,39369350
1,4333602,4336007
1,6616213,6617541
1,31634957,31636502
1,29302066,29302748
1,1113461,1114663
1,30814849,30817138
1,41582448,41582935
1,27281558,27283516
1,14074921,14081903
1,14073563,14081903
1,11772699,11775469
1,33810095,33815687
1,14771526,14775091
1,14771526,14777557
1,4723535,4724763
1,22018392,22020059
1,9918774,9919302
1,40214452,40214990
1,2972391,2977797
1,2972701,2977732
1,8219018,8221889
1,8218487,8221889
1,36130161,36132720
1,1185255,1188982
1,1185687,1188802
1,24324098,24325105
1,40369780,40370474
1,8684093,8685101
1,36012646,36016434
1,7837724,7840266
1,36603814,36604428
1,23896304,23898192
1,8152528,8152953
1,24650851,24651299
1,4847423,4850103
1,9854977,9855509
1,30672521,30673339
1,31983521,31984007
1,37727113,37727771
1,10780859,10785417
1,10780608,10785463
1,41796328,41798820
1,8533931,8536550
1,30069246,30071466
1,30066257,30070781
1,30069123,30070781
1,30067673,30070781
1,32478421,32480469
1,7626134,7630260
1,7629068,7630260
1,8150939,8153989
1,6329212,6335308
1,7406779,7407486
1,4474502,4475416
1,8671114,8671616
1,19859591,19864466
1,1359533,1359995
1,18905340,18906033
1,37134921,37136249
1,37134921,37140740
1,31966622,31967405
1,41629029,41630719
1,28015064,28016347
1,3503350,3504664
1,38005644,38007325
1,41621471,41625200
1,41622365,41624108
1,3135614,3136059
1,3135419,3137165
1,34744506,34744973
1,22378991,22380181
1,33295952,33300081
1,1640263,1644465
1,1640825,1644227
1,36531917,36535245
1,41829956,41836516
1,7904142,7905049
1,30439694,30445080
1,32953745,32956242
1,2790277,2790561
1,36103341,36104516
1,34136858,34137606
1,35329443,35334079
1,39090674,39093432
1,32400915,32403812
1,5494593,5496768
1,7963471,7963923
1,5504739,5508238
1,20259035,20259154
1,29051045,29051386
1,40172386,40172799
1,40172385,40173735
1,29596505,29598259
1,39351812,39355573
1,9685534,9687801
1,26091277,26091866
1,40533429,40535788
1,21460789,21468487
1,8774840,8777567
1,23574588,23581962
1,6651824,6653899
1,26162348,26166687
1,33618833,33624417
1,33806102,33807546
1,738793,739834
1,7661514,7663640
1,35785389,35786081
1,729723,735220
1,733273,734904
1,8967834,8969106
1,15032751,15036312
1,15543943,15553301
1,40811205,40811816
1,5664467,5667307
1,26773979,26774265
1,1574636,1577695
1,27570898,27577062
1,15193804,15202910
1,1156984,1157646
1,2132480,2133101
1,7911804,7915806
1,36634606,36640363
1,15657731,15658189
1,34055643,34059482
1,37402422,37403059
1,28030560,28031633
1,41619444,41621375
1,40488071,40490474
1,39065406,39070257
1,27657181,27659602
1,27657534,27659602
1,30664246,30666047
1,22173132,22175245
1,28728801,28730960
1,30233526,30236249
1,41224252,41226892
1,41571916,41575433
1,9763574,9764148
1,38897368,38899023
1,6445462,6449368
1,39843889,39852795
1,10325408,10327779
1,5668731,5675122
1,34286840,34291771
1,717866,725339
1,717565,725584
1,27069978,27071386
1,11282725,11285678
1,22070869,22080867
1,22070869,22077623
1,2814564,2815014
1,37626732,37627484
1,25422004,25424072
1,23963022,23964610
1,30732814,30738866
1,30732415,30739834
1,35143493,35145430
1,38628131,38630122
1,25817512,25818360
1,30078416,30085226
1,36538925,36539102
1,4963809,4968084
1,4963443,4968659
1,36363661,36375902
1,10950974,10951354
1,30545914,30550097
1,30545594,30550377
1,31274367,31276156
1,29953613,29954438
1,2898565,2902548
1,19155492,19156413
1,14215820,14216502
1,208556,208834
1,8741705,8745405
1,27522373,27527779
1,24267717,24269602
1,24267191,24269602
1,24267192,24269602
1,2638434,2644279
1,2638434,2643942
1,35205906,35207051
1,6854902,6860611
1,6855002,6859630
1,6854902,6859298
1,1412338,1415794
1,1408948,1415794
1,41086067,41087459
1,35834591,35836801
1,32228842,32229786
1,7911126,7911588
1,40030490,40031926
1,30298872,30301150
1,40633388,40636466
1,34772676,34773288
1,22352349,22357498
1,1601081,1601776
1,27977900,27978205
1,37648109,37649298
1,37753115,37753838
1,812866,814132
1,36335613,36340408
1,36335613,36337771
1,9939426,9940811
1,33448378,33450514
1,28382859,28383523
1,32147590,32148081
1,29480140,29483163
1,9614543,9618044
1,32566159,32567635
