"Chromosome","GeneStart","GeneEnd","GeneMiddle"
1,223867730,223893634,223880682
1,224132438,224136038,224134238
1,226098137,226099834,226098985.5
1,228195590,228196653,228196121.5
1,228838508,228853358,228845933
1,229244624,229249652,229247138
1,231995812,231999388,231997600
1,232520462,232523797,232522129.5
1,234487243,234488020,234487631.5
1,235664137,235674508,235669322.5
1,236452214,236454326,236453270
1,241290060,241307027,241298543.5
1,242608830,242623994,242616412
1,243793186,243794038,243793612
1,248239844,248257133,248248488.5
1,250211604,250238957,250225280.5
1,250869978,250889187,250879582.5
1,255457493,255462276,255459884.5
1,257549907,257577729,257563818
1,260824321,260835351,260829836
1,260963700,260973443,260968571.5
1,261879653,261882962,261881307.5
1,262667604,262669235,262668419.5
1,262795704,262809182,262802443
1,263449078,263456702,263452890
1,264502507,264508796,264505651.5
1,266599368,266602502,266600935
1,266991344,266995607,266993475.5
1,271185836,271195792,271190814
1,272099177,272116020,272107598.5
1,274332109,274336168,274334138.5
1,274853460,274859288,274856374
1,276558523,276562765,276560644
1,278132705,278151508,278142106.5
1,278522548,278531932,278527240
1,278655188,278666554,278660871
1,281396305,281411764,281404034.5
1,285074019,285083744,285078881.5
1,287046899,287049190,287048044.5
1,291109618,291113099,291111358.5
1,293991224,293997516,293994370
1,295040113,295046734,295043423.5
1,295173557,295177142,295175349.5
1,295302732,295307367,295305049.5
1,296877303,296881082,296879192.5
1,298445942,298450992,298448467
1,298689594,298714088,298701841
1,302507187,302519013,302513100
1,303816577,303826950,303821763.5
1,304475521,304483669,304479595
1,305002944,305007618,305005281
1,307494641,307495350,307494995.5
1,307885849,307894414,307890131.5
1,308019180,308020097,308019638.5
1,308543248,308544341,308543794.5
1,309197581,309208894,309203237.5
1,309708803,309723663,309716233
1,310752126,310771982,310762054
1,12601,18309,15455
1,18411,24787,21599
1,95318,96172,95745
1,96215,96820,96517.5
1,97085,101606,99345.5
1,104271,104648,104459.5
1,205386,206258,205822
1,206476,215485,210980.5
1,217031,222316,219673.5
1,222614,237424,230019
1,354976,358819,356897.5
1,359256,359531,359393.5
1,438097,442222,440159.5
1,751813,752718,752265.5
1,752183,761097,756640
1,936769,938587,937678
1,1112139,1112609,1112374
1,1205848,1213914,1209881
1,1214829,1217962,1216395.5
1,1219047,1229871,1224459
1,1227440,1229517,1228478.5
1,1236974,1237186,1237080
1,1269277,1272382,1270829.5
1,1269534,1271950,1270742
1,1384715,1385119,1384917
1,1445232,1446770,1446001
1,1453644,1459883,1456763.5
1,1460361,1464517,1462439
1,1710508,1746089,1728298.5
1,1785157,1785789,1785473
1,1816198,1817075,1816636.5
1,1909153,1909542,1909347.5
1,1921436,1922392,1921914
1,2017108,2019326,2018217
1,2034882,2036036,2035459
1,2036148,2037551,2036849.5
1,2042062,2044431,2043246.5
1,2140455,2140855,2140655
1,2144362,2144787,2144574.5
1,2148441,2148878,2148659.5
1,2232696,2241262,2236979
1,2256379,2257545,2256962
1,2300833,2302467,2301650
1,2305802,2309811,2307806.5
1,2360707,2363219,2361963
1,2364196,2377128,2370662
1,2456073,2462536,2459304.5
1,2506854,2510799,2508826.5
1,2512301,2515371,2513836
1,2519478,2524328,2521903
1,2612595,2614574,2613584.5
1,2724710,2732810,2728760
1,2748175,2750663,2749419
1,2766038,2772732,2769385
1,2804785,2807435,2806110
1,2821161,2830761,2825961
1,2834804,2843196,2839000
1,2849696,2852954,2851325
1,2865523,2865900,2865711.5
1,2866908,2881272,2874090
1,2881665,2883026,2882345.5
1,2891073,2893293,2892183
1,2894316,2895755,2895035.5
1,2930189,2939725,2934957
1,2937959,2940439,2939199
1,2982161,2990440,2986300.5
1,2991050,2995961,2993505.5
1,2996312,3003838,3000075
1,2999922,3010892,3005407
1,3026846,3027352,3027099
1,3032018,3039970,3035994
1,3043041,3045539,3044290
1,3044617,3055075,3049846
1,3104793,3109738,3107265.5
1,3156110,3166843,3161476.5
1,3171260,3173079,3172169.5
1,3196075,3196371,3196223
1,3205155,3223897,3214526
1,3225564,3236839,3231201.5
1,3344491,3350691,3347591
1,3396342,3396812,3396577
1,3413535,3419850,3416692.5
1,3420310,3421014,3420662
1,3421504,3423038,3422271
1,3464362,3480379,3472370.5
1,3481558,3483129,3482343.5
1,3484695,3486669,3485682
1,3566920,3568536,3567728
1,3569527,3572482,3571004.5
1,3575890,3576489,3576189.5
1,3577897,3578589,3578243
1,3578911,3590797,3584854
1,3654314,3655822,3655068
1,3656396,3659095,3657745.5
1,3733002,3737731,3735366.5
1,3740301,3747342,3743821.5
1,3747132,3749426,3748279
1,3815948,3821046,3818497
1,3841532,3843790,3842661
1,3851240,3851440,3851340
1,3896581,3896847,3896714
1,3920519,3930979,3925749
1,3999808,4002851,4001329.5
1,4016040,4017047,4016543.5
1,4017103,4019106,4018104.5
1,4019249,4023070,4021159.5
1,4039294,4040883,4040088.5
1,4044690,4047060,4045875
1,4071148,4074267,4072707.5
1,4075518,4076270,4075894
1,4101400,4105579,4103489.5
1,4105844,4106458,4106151
1,4108767,4113912,4111339.5
1,4156372,4160594,4158483
1,4181684,4181950,4181817
1,4210007,4213715,4211861
1,4215394,4217167,4216280.5
1,4220393,4220731,4220562
1,4223319,4226196,4224757.5
1,4227671,4230717,4229194
1,4234768,4252199,4243483.5
1,4262291,4269316,4265803.5
1,4270377,4274373,4272375
1,4278331,4282751,4280541
1,4284182,4286812,4285497
1,4287884,4290596,4289240
1,4291604,4296207,4293905.5
1,4302337,4304583,4303460
1,4310893,4318294,4314593.5
1,4323573,4323773,4323673
1,4349878,4419753,4384815.5
1,4441781,4443073,4442427
1,4471200,4471946,4471573
1,4476380,4482933,4479656.5
1,4498935,4499405,4499170
1,4533486,4535702,4534594
1,4536159,4537869,4537014
1,4560300,4569409,4564854.5
1,4560598,4563975,4562286.5
1,4607669,4611981,4609825
1,4632224,4633089,4632656.5
1,4634332,4636029,4635180.5
1,4703462,4703728,4703595
1,4720559,4721521,4721040
1,4758561,4761918,4760239.5
1,4762728,4776046,4769387
1,4783621,4784370,4783995.5
1,4877250,4883358,4880304
1,4898973,4899281,4899127
1,4936918,4942763,4939840.5
1,5002044,5004770,5003407
1,5062334,5066614,5064474
1,5080703,5087318,5084010.5
1,5103844,5104182,5104013
1,5199808,5207858,5203833
1,5270076,5272267,5271171.5
1,5299521,5316246,5307883.5
1,5370570,5370836,5370703
1,5442552,5445673,5444112.5
1,5449832,5452269,5451050.5
1,5453257,5455400,5454328.5
1,5457722,5463365,5460543.5
1,5478595,5479904,5479249.5
1,5490076,5495886,5492981
1,5536779,5539214,5537996.5
1,5556346,5562267,5559306.5
1,5611967,5614531,5613249
1,5615995,5616372,5616183.5
1,5696087,5697511,5696799
1,5716018,5720223,5718120.5
1,5719030,5720737,5719883.5
1,5724259,5724459,5724359
1,5782854,5786071,5784462.5
1,5791198,5800682,5795940
1,5803745,5810575,5807160
1,5861985,5866316,5864150.5
1,5867112,5871943,5869527.5
1,5890429,5894737,5892583
1,5903049,5906897,5904973
1,5908291,5912294,5910292.5
1,5928562,5929566,5929064
1,5942183,5944159,5943171
1,5986851,5989159,5988005
1,6002742,6008614,6005678
1,6046977,6048804,6047890.5
1,6054086,6054373,6054229.5
1,6057912,6060394,6059153
1,6061995,6064608,6063301.5
1,6175994,6188386,6182190
1,6194376,6196914,6195645
1,6196957,6207020,6201988.5
1,6265634,6268435,6267034.5
1,6268947,6270388,6269667.5
1,6275710,6289025,6282367.5
1,6328203,6333955,6331079
1,6412666,6414063,6413364.5
1,6425474,6426652,6426063
1,6459032,6479642,6469337
1,6500014,6527638,6513826
1,6536348,6538461,6537404.5
1,6599472,6600597,6600034.5
1,6629811,6630855,6630333
1,6636038,6641631,6638834.5
1,6641683,6646299,6643991
1,6687716,6689547,6688631.5
1,6695302,6695868,6695585
1,6697393,6702260,6699826.5
1,6704952,6707688,6706320
1,6707204,6711109,6709156.5
1,6761965,6781208,6771586.5
1,6788410,6791298,6789854
1,6845495,6847371,6846433
1,6860371,6864803,6862587
1,6951981,6957569,6954775
1,6969976,6970302,6970139
1,6979057,6988111,6983584
1,6995094,6996319,6995706.5
1,7062318,7064051,7063184.5
1,7091846,7093244,7092545
1,7115826,7116819,7116322.5
1,7127979,7131837,7129908
1,7132154,7145384,7138769
1,7145078,7152533,7148805.5
1,7232206,7237247,7234726.5
1,7239541,7243216,7241378.5
1,7281234,7281500,7281367
1,7344917,7351249,7348083
1,7354304,7355344,7354824
1,7364511,7374774,7369642.5
1,7384630,7389005,7386817.5
1,7393150,7395021,7394085.5
1,7397457,7400580,7399018.5
1,7473217,7477656,7475436.5
1,7494265,7500096,7497180.5
1,7525778,7527655,7526716.5
1,7562897,7580588,7571742.5
1,7607227,7611356,7609291.5
1,7612815,7616672,7614743.5
1,7616557,7619476,7618016.5
1,7639521,7640669,7640095
1,7671075,7677474,7674274.5
1,7682263,7685292,7683777.5
1,7699503,7700567,7700035
1,7706408,7711083,7708745.5
1,7712979,7714448,7713713.5
1,7716277,7717672,7716974.5
1,7802113,7807436,7804774.5
1,7823683,7825465,7824574
1,7841715,7847533,7844624
1,7879441,7885755,7882598
1,7885926,7889117,7887521.5
1,7888490,7890549,7889519.5
1,7919459,7923947,7921703
1,8007700,8022747,8015223.5
1,8035514,8038048,8036781
1,8086854,8088254,8087554
1,8151136,8152623,8151879.5
1,8185180,8186774,8185977
1,8188470,8189708,8189089
1,8191665,8193028,8192346.5
1,8286547,8298848,8292697.5
1,8325297,8327544,8326420.5
1,8360083,8362012,8361047.5
1,8366157,8367824,8366990.5
1,8421676,8422791,8422233.5
1,8452225,8453856,8453040.5
1,8453940,8454876,8454408
1,8467775,8476291,8472033
1,8485484,8489900,8487692
1,8492102,8492569,8492335.5
1,8493140,8495533,8494336.5
1,8539232,8542343,8540787.5
1,8593155,8593781,8593468
1,8621021,8622240,8621630.5
1,8653672,8661997,8657834.5
1,8673692,8675589,8674640.5
1,8693357,8697981,8695669
1,8700383,8704804,8702593.5
1,8738198,8744321,8741259.5
1,8744639,8748329,8746484
1,8763938,8764204,8764071
1,8769973,8773379,8771676
1,8799989,8802375,8801182
1,8808863,8811414,8810138.5
1,8810636,8813370,8812003
1,8851872,8855369,8853620.5
1,8867062,8870576,8868819
1,8934922,8940775,8937848.5
1,8967587,8970017,8968802
1,8972582,8974230,8973406
1,9069085,9070772,9069928.5
1,9076351,9078240,9077295.5
1,9078121,9082058,9080089.5
1,9096070,9099251,9097660.5
1,9105640,9109698,9107669
1,9188668,9192975,9190821.5
1,9232919,9233710,9233314.5
1,9234565,9238376,9236470.5
1,9274746,9277115,9275930.5
1,9282467,9284029,9283248
1,9299295,9300905,9300100
1,9307131,9309678,9308404.5
1,9345178,9349933,9347555.5
1,9359536,9364150,9361843
1,9392619,9396396,9394507.5
1,9475379,9476737,9476058
1,9479477,9480982,9480229.5
1,9483479,9488386,9485932.5
1,9577797,9578189,9577993
1,9584052,9587402,9585727
1,9588862,9591740,9590301
1,9595901,9598775,9597338
1,9610656,9620398,9615527
1,9627279,9629501,9628390
1,9653625,9660094,9656859.5
1,9711908,9713268,9712588
1,9757256,9757960,9757608
1,9825733,9829446,9827589.5
1,9831233,9838763,9834998
1,9890700,9897248,9893974
1,9937800,9940172,9938986
1,9988606,9988995,9988800.5
1,10023646,10024119,10023882.5
1,10068263,10072460,10070361.5
1,10139031,10146825,10142928
1,10148592,10216375,10182483.5
1,10217468,10218319,10217893.5
1,10253476,10254894,10254185
1,10277163,10278539,10277851
1,10287147,10290309,10288728
1,10292840,10294351,10293595.5
1,10346247,10348064,10347155.5
1,10399649,10403200,10401424.5
1,10506652,10517322,10511987
1,10548490,10550780,10549635
1,10581876,10584919,10583397.5
1,10626605,10630482,10628543.5
1,10638246,10639605,10638925.5
1,10671245,10674374,10672809.5
1,10753914,10754733,10754323.5
1,10789256,10793865,10791560.5
1,10914889,10925351,10920120
1,10936373,10936639,10936506
1,10962462,10962689,10962575.5
1,11047488,11050807,11049147.5
1,11062010,11085954,11073982
1,11128629,11135084,11131856.5
1,11142636,11148350,11145493
1,11149014,11151629,11150321.5
1,11198284,11204831,11201557.5
1,11206502,11209370,11207936
1,11296798,11296998,11296898
1,11329656,11329922,11329789
1,11345231,11348328,11346779.5
1,11357973,11360439,11359206
1,11471798,11472959,11472378.5
1,11477463,11478621,11478042
1,11526344,11531033,11528688.5
1,11577023,11580681,11578852
1,11644714,11649015,11646864.5
1,11655026,11656000,11655513
1,11661908,11662822,11662365
1,11667718,11669917,11668817.5
1,11674344,11676991,11675667.5
1,11735429,11735656,11735542.5
1,11738570,11752484,11745527
1,11857571,11861834,11859702.5
1,11911738,11918522,11915130
1,11965063,11966637,11965850
1,11980524,11987112,11983818
1,12040688,12041919,12041303.5
1,12042299,12042535,12042417
1,12043171,12043854,12043512.5
1,12132574,12138833,12135703.5
1,12139558,12144517,12142037.5
1,12231814,12233410,12232612
1,12237563,12241951,12239757
1,12269498,12271576,12270537
1,12273533,12278183,12275858
1,12343778,12352306,12348042
1,12543666,12563440,12553553
1,12585411,12587443,12586427
1,12690712,12691740,12691226
1,12691978,12694081,12693029.5
1,12694387,12695367,12694877
1,12700490,12701624,12701057
1,12807308,12814764,12811036
1,12814983,12815525,12815254
1,12815711,12823681,12819696
1,12888797,12893006,12890901.5
1,12893381,12900239,12896810
1,13006984,13008173,13007578.5
1,13015880,13025029,13020454.5
1,13028899,13030188,13029543.5
1,13040970,13041296,13041133
1,13111139,13113017,13112078
1,13113430,13116294,13114862
1,13203989,13209332,13206660.5
1,13214660,13222192,13218426
1,13220243,13228736,13224489.5
1,13250855,13251406,13251130.5
1,13284116,13288174,13286145
1,13289732,13291076,13290404
1,13296177,13296665,13296421
1,13343063,13350951,13347007
1,13383147,13383446,13383296.5
1,13385284,13389973,13387628.5
1,13434014,13439917,13436965.5
1,13512237,13518948,13515592.5
1,13523019,13526872,13524945.5
1,13527563,13538687,13533125
1,13567330,13571146,13569238
1,13589543,13591107,13590325
1,13641464,13645903,13643683.5
1,13646839,13649038,13647938.5
1,13778531,13781088,13779809.5
1,13945906,13946871,13946388.5
1,13947882,13956000,13951941
1,13975998,13978010,13977004
1,13980747,13984735,13982741
1,14089738,14092759,14091248.5
1,14103982,14106348,14105165
1,14137167,14146345,14141756
1,14147082,14153642,14150362
1,14209236,14209484,14209360
1,14248769,14265726,14257247.5
1,14300178,14303708,14301943
1,14447011,14447217,14447114
1,14478164,14486264,14482214
1,14531380,14536544,14533962
1,14580885,14584926,14582905.5
1,14597178,14604758,14600968
1,14624357,14624614,14624485.5
1,14628471,14628731,14628601
1,14666627,14666854,14666740.5
1,14683822,14684082,14683952
1,14742626,14742856,14742741
1,14773402,14776797,14775099.5
1,14826055,14827818,14826936.5
1,14831580,14843787,14837683.5
1,14878527,14882449,14880488
1,14906138,14912189,14909163.5
1,14916064,14919675,14917869.5
1,14949196,14949468,14949332
1,14950316,14968522,14959419
1,15047708,15049783,15048745.5
1,15175302,15180335,15177818.5
1,15185311,15187614,15186462.5
1,15262625,15270400,15266512.5
1,15271271,15272912,15272091.5
1,15278853,15283953,15281403
1,15287512,15291105,15289308.5
1,15308435,15309175,15308805
1,15379264,15379662,15379463
1,15511191,15512371,15511781
1,15519791,15527276,15523533.5
1,15528069,15528386,15528227.5
1,15528766,15530065,15529415.5
1,15532728,15533228,15532978
1,15543085,15543648,15543366.5
1,15569727,15575488,15572607.5
1,15575697,15579608,15577652.5
1,15616234,15616497,15616365.5
1,15617204,15618100,15617652
1,15621304,15621630,15621467
1,15623482,15624506,15623994
1,15646779,15656994,15651886.5
1,15662174,15664663,15663418.5
1,15665459,15667093,15666276
1,15716030,15719060,15717545
1,15791487,15805861,15798674
1,15834364,15843539,15838951.5
1,15920023,15921564,15920793.5
1,15995069,15996690,15995879.5
1,15995987,16001017,15998502
1,16141505,16144394,16142949.5
1,16148790,16153850,16151320
1,16193741,16198747,16196244
1,16253940,16267069,16260504.5
1,16282268,16285203,16283735.5
1,16324200,16325192,16324696
1,16325711,16332082,16328896.5
1,16424551,16425998,16425274.5
1,16449633,16450922,16450277.5
1,16591482,16592909,16592195.5
1,16685062,16688571,16686816.5
1,16786476,16790505,16788490.5
1,16802489,16804228,16803358.5
1,16807431,16810600,16809015.5
1,16825100,16825366,16825233
1,16876789,16881404,16879096.5
1,16884140,16892143,16888141.5
1,16991207,17000093,16995650
1,17000377,17004943,17002660
1,17068064,17069029,17068546.5
1,17069263,17072666,17070964.5
1,17073219,17079787,17076503
1,17082925,17083125,17083025
1,17089540,17096415,17092977.5
1,17127153,17127452,17127302.5
1,17130557,17133945,17132251
1,17211963,17213638,17212800.5
1,17227202,17228215,17227708.5
1,17291002,17295568,17293285
1,17385958,17386941,17386449.5
1,17475660,17480146,17477903
1,17576723,17578867,17577795
1,17615306,17620654,17617980
1,17759788,17760123,17759955.5
1,17774889,17778673,17776781
1,17782088,17790971,17786529.5
1,17782195,17782839,17782517
1,17796988,17798588,17797788
1,17798032,17807044,17802538
1,17830277,17832895,17831586
1,17834232,17841796,17838014
1,17868414,17869106,17868760
1,17883357,17888929,17886143
1,17999587,18006229,18002908
1,18051020,18051286,18051153
1,18064074,18064475,18064274.5
1,18064165,18064830,18064497.5
1,18073002,18082400,18077701
1,18081889,18086509,18084199
1,18088630,18090256,18089443
1,18118547,18119794,18119170.5
1,18151955,18155719,18153837
1,18245707,18260526,18253116.5
1,18299899,18302918,18301408.5
1,18303688,18306162,18304925
1,18325831,18327409,18326620
1,18373260,18375245,18374252.5
1,18491536,18511088,18501312
1,18566741,18571819,18569280
1,18572853,18579680,18576266.5
1,18637276,18649070,18643173
1,18662710,18666981,18664845.5
1,18700613,18700879,18700746
1,18716793,18718282,18717537.5
1,18748684,18750428,18749556
1,18765934,18766323,18766128.5
1,18771742,18772590,18772166
1,18778799,18779722,18779260.5
1,18794545,18795200,18794872.5
1,18851397,18855016,18853206.5
1,18855299,18862040,18858669.5
1,18865252,18867960,18866606
1,18881930,18884419,18883174.5
1,18885844,18893710,18889777
1,18913686,18919277,18916481.5
1,18920105,18922703,18921404
1,18944596,18947318,18945957
1,18947245,18954033,18950639
1,18957411,18965798,18961604.5
1,19015370,19015747,19015558.5
1,19022028,19024025,19023026.5
1,19050625,19052211,19051418
1,19066445,19068450,19067447.5
1,19127013,19128599,19127806
1,19131085,19136208,19133646.5
1,19182957,19187985,19185471
1,19237286,19240543,19238914.5
1,19243197,19243628,19243412.5
1,19268857,19290705,19279781
1,19295166,19295417,19295291.5
1,19502779,19508787,19505783
1,19511218,19513338,19512278
1,19516437,19518332,19517384.5
1,19563763,19569436,19566599.5
1,19570049,19571338,19570693.5
1,19572309,19584869,19578589
1,19581649,19585085,19583367
1,19585469,19590626,19588047.5
1,19752826,19753092,19752959
1,19802327,19815447,19808887
1,19950244,19952385,19951314.5
1,19957323,19961629,19959476
1,19998431,20001032,19999731.5
1,20077892,20078158,20078025
1,20162706,20163863,20163284.5
1,20199403,20200560,20199981.5
1,20238910,20240223,20239566.5
1,20300348,20307900,20304124
1,20311357,20312442,20311899.5
1,20339008,20339313,20339160.5
1,20432677,20435045,20433861
1,20439434,20439817,20439625.5
1,20448249,20454059,20451154
1,20472835,20475040,20473937.5
1,20484620,20494426,20489523
1,20499193,20499714,20499453.5
1,20507771,20509256,20508513.5
1,20512832,20513210,20513021
1,20531562,20532842,20532202
1,20555045,20565304,20560174.5
1,20599161,20602099,20600630
1,20647903,20649175,20648539
1,20744606,20745343,20744974.5
1,20763985,20767172,20765578.5
1,20801136,20802382,20801759
1,20819287,20821531,20820409
1,20869758,20873083,20871420.5
1,20927427,20931830,20929628.5
1,20933830,20938482,20936156
1,20939527,20952622,20946074.5
1,20953765,20954817,20954291
1,20956981,20963063,20960022
1,20965096,20970186,20967641
1,20992576,20994324,20993450
1,21017535,21018416,21017975.5
1,21019731,21030341,21025036
1,21040317,21040598,21040457.5
1,21071592,21072419,21072005.5
1,21073749,21080172,21076960.5
1,21133439,21134347,21133893
1,21137386,21143050,21140218
1,21145442,21148231,21146836.5
1,21219429,21226467,21222948
1,21293934,21304087,21299010.5
1,21382559,21390287,21386423
1,21404443,21405756,21405099.5
1,21414824,21417566,21416195
1,21470698,21481530,21476114
1,21514565,21514840,21514702.5
1,21691376,21704630,21698003
1,21783425,21788196,21785810.5
1,21790352,21793414,21791883
1,21901061,21901495,21901278
1,22022253,22046722,22034487.5
1,22071092,22074836,22072964
1,22205159,22209185,22207172
1,22214068,22216484,22215276
1,22301703,22307909,22304806
1,22306312,22308374,22307343
1,22308729,22311838,22310283.5
1,22379395,22379721,22379558
1,22385517,22386127,22385822
1,22395651,22396815,22396233
1,22397558,22398085,22397821.5
1,22398229,22402208,22400218.5
1,22402336,22402704,22402520
1,22402751,22404268,22403509.5
1,22404396,22404638,22404517
1,22428950,22429303,22429126.5
1,22429376,22430071,22429723.5
1,22431088,22432344,22431716
1,22432387,22433223,22432805
1,22434053,22435272,22434662.5
1,22468478,22469260,22468869
1,22469468,22470292,22469880
1,22472695,22475591,22474143
1,22483504,22498799,22491151.5
1,22508707,22510617,22509662
1,22528517,22531299,22529908
1,22576304,22587038,22581671
1,22660961,22662385,22661673
1,22754640,22780223,22767431.5
1,22918633,22925329,22921981
1,22928122,22932382,22930252
1,22955544,22957205,22956374.5
1,22992842,22995140,22993991
1,22998398,23004010,23001204
1,23044377,23044808,23044592.5
1,23205219,23212678,23208948.5
1,23367251,23368456,23367853.5
1,23369750,23381851,23375800.5
1,23529500,23534342,23531921
1,23593600,23597433,23595516.5
1,23596911,23601315,23599113
1,23606221,23608602,23607411.5
1,23734936,23738843,23736889.5
1,23738948,23741651,23740299.5
1,23743201,23747738,23745469.5
1,23772919,23775761,23774340
1,23908879,23915021,23911950
1,23932297,23937313,23934805
1,23937216,23937890,23937553
1,23992571,23996290,23994430.5
1,24034097,24035514,24034805.5
1,24105284,24106852,24106068
1,24133751,24135542,24134646.5
1,24174314,24175465,24174889.5
1,24248845,24249781,24249313
1,24284333,24289901,24287117
1,24331351,24333129,24332240
1,24334236,24339826,24337031
1,24341681,24342459,24342070
1,24526045,24526911,24526478
1,24669310,24671115,24670212.5
1,24678842,24681967,24680404.5
1,24690677,24694944,24692810.5
1,24697388,24713221,24705304.5
1,24714451,24716570,24715510.5
1,24723324,24723599,24723461.5
1,24815245,24826099,24820672
1,24826921,24829054,24827987.5
1,24861969,24867576,24864772.5
1,24931299,24931676,24931487.5
1,24938544,24940902,24939723
1,24951578,24955663,24953620.5
1,24958263,24963097,24960680
1,25006303,25007247,25006775
1,25069904,25070281,25070092.5
1,25086519,25086908,25086713.5
1,25154322,25155772,25155047
1,25161835,25162371,25162103
1,25196555,25197369,25196962
1,25198547,25204427,25201487
1,25232318,25233020,25232669
1,25244270,25245050,25244660
1,25250149,25253724,25251936.5
1,25363447,25363908,25363677.5
1,25463017,25470390,25466703.5
1,25604825,25609836,25607330.5
1,25632584,25637107,25634845.5
1,25666218,25666484,25666351
1,25772496,25774783,25773639.5
1,25786770,25793551,25790160.5
1,25799326,25799613,25799469.5
1,25800765,25803359,25802062
1,25882142,25883365,25882753.5
1,25890772,25892097,25891434.5
1,25893994,25899132,25896563
1,25953366,25953632,25953499
1,26117608,26128935,26123271.5
1,26300031,26304449,26302240
1,26358179,26366479,26362329
1,26424422,26428770,26426596
1,26507294,26509541,26508417.5
1,26513107,26516991,26515049
1,26518456,26525590,26522023
1,26538389,26550298,26544343.5
1,26551768,26554219,26552993.5
1,26556767,26560325,26558546
1,26560727,26561122,26560924.5
1,26563037,26568590,26565813.5
1,26571006,26575802,26573404
1,26621262,26631788,26626525
1,26663747,26667206,26665476.5
1,26668613,26680366,26674489.5
1,26672855,26674608,26673731.5
1,26710720,26713782,26712251
1,26714487,26714846,26714666.5
1,26716522,26722139,26719330.5
1,26778277,26785294,26781785.5
1,26813763,26818323,26816043
1,26935132,26942004,26938568
